"도, 시/구역/군 별",2008,2008,2008,2008,2008,2008,2008,2008,2008
"도, 시/구역/군 별",모든지역,모든지역,모든지역,도시,도시,도시,농촌,농촌,농촌
"도, 시/구역/군 별",계,남자,녀자,계,남자,녀자,계,남자,녀자
"은정구역",47569,23831,23738,47569,23831,23738,-,-,-
"은천군",95597,44864,50733,20164,9480,10684,75433,35384,40049
"은파군",110988,51914,59074,39645,18511,21134,71343,33403,37940
"의주군",110018,52185,57833,57229,27113,30116,52789,25072,27717
"이천군",57563,27196,30367,12458,5851,6607,45105,21345,23760
"자강도",1299830,616828,683002,828253,392660,435593,471577,224168,247409
"자성군",50939,24216,26723,25407,12042,13365,25532,12174,13358
"장강군",54601,26013,28588,23196,11001,12195,31405,15012,16393
"장연군",91422,42885,48537,43542,20234,23308,47880,22651,25229
"장진군",64681,30521,34160,30729,14480,16249,33952,16041,17911
"장풍군",69104,32991,36113,15832,7473,8359,53272,25518,27754
"재령군",125631,59212,66419,39387,18686,20701,86244,40526,45718
"전국",23349859,11059489,12290370,14155393,6716215,7439178,9194466,4343274,4851192
"전천군",106311,50201,56110,86877,40943,45934,19434,9258,10176
"정주시",189742,89494,100248,102659,48423,54236,87083,41071,46012
"정평군",179114,84130,94984,53159,25092,28067,125955,59038,66917
"중강군",41022,19344,21678,18793,8829,9964,22229,10515,11714
"중구역",131333,66371,64962,131333,66371,64962,-,-,-
"중화군",77367,36156,41211,26771,12550,14221,50596,23606,26990
"증산군",113613,54292,59321,23578,11203,12375,90035,43089,46946
"창도군",51319,24268,27051,11380,5321,6059,39939,18947,20992
"창성군",26577,12574,14003,13187,6228,6959,13390,6346,7044
"천내군",85123,39602,45521,57908,26893,31015,27215,12709,14506
"천리마군",139489,66145,73344,102436,48478,53958,37053,17667,19386
"천마군",50462,23979,26483,22662,10724,11938,27800,13255,14545
"철산군",85525,40409,45116,29054,13691,15363,56471,26718,29753
"철원군",62418,29483,32935,13461,6336,7125,48957,23147,25810
"청남구",73290,34338,38952,64404,30141,34263,8886,4197,4689
"청단군",142607,67478,75129,34045,16165,17880,108562,51313,57249
"청암구역*",136659,64533,72126,114910,54234,60676,21749,10299,11450
"초산군",43614,20866,22748,12136,5748,6388,31478,15118,16360
"태천군",108894,51712,57182,30802,14576,16226,78092,37136,40956
"태탄군",64258,30351,33907,17351,8178,9173,46907,22173,24734
"토산군",62727,29936,32791,16264,7657,8607,46463,22279,24184
"통천군",89357,41681,47676,25863,12014,13849,63494,29667,33827
"판교군",47031,22108,24923,10024,4691,5333,37007,17417,19590
"평강군",90425,42910,47515,27560,13062,14498,62865,29848,33017
"평산군",123646,59480,64166,57601,28087,29514,66045,31393,34652
"평성시",284386,138687,145699,236583,115817,120766,47803,22870,24933
"평안남도",4051696,1928935,2122761,2629943,1253805,1376138,1421753,675130,746623
"평안북도",2728662,1291443,1437219,1431936,677207,754729,1296726,614236,682490
"평양시",3255288,1549778,1705510,2823414,1347210,1476204,431874,202568,229306
"평원군",179492,85096,94396,51909,24486,27423,127583,60610,66973
"평천구역",181142,86225,94917,181142,86225,94917,-,-,-
"포항구역*",104007,49727,54280,104007,49727,54280,-,-,-
"풍서군",44112,20765,23347,21598,10131,11467,22514,10634,11880
"피현군",110637,52901,57736,48812,23460,25352,61825,29441,32384
"함경남도",3066013,1444493,1621520,1811074,856008,955066,1254939,588485,666454
"함경북도",2327362,1100172,1227190,1645886,778985,866901,681476,321187,360289
"함주군",133896,62656,71240,31136,14592,16544,102760,48064,54696
"해안구역*",80878,38205,42673,73614,34750,38864,7264,3455,3809
"해주시",273300,131554,141746,241599,116594,125005,31701,14960,16741
"향산군",52350,24705,27645,22657,10628,12029,29693,14077,15616
"허천군",104731,49299,55432,68313,32034,36279,36418,17265,19153
"형제산구역",160032,75785,84247,145772,69087,76685,14260,6698,7562
"혜산시",192680,91420,101260,174015,82604,91411,18665,8816,9849
"홍원군",142910,67216,75694,71763,33849,37914,71147,33367,37780
"화대군",67677,31657,36020,15095,7073,8022,52582,24584,27998
"화평군",42183,20092,22091,18569,8850,9719,23614,11242,12372
"황주군",155215,73318,81897,35678,16699,18979,119537,56619,62918
"황해남도",2310485,1090956,1219529,821954,388804,433150,1488531,702152,786379
"황해북도",2113672,1003112,1110560,972632,461240,511392,1141040,541872,599168
"회경시",153532,72332,81200,92494,43364,49130,61038,28968,32070
"회상구역*",156608,73754,82854,120648,56847,63801,35960,16907,19053
"회양군",42485,20014,22471,11674,5485,6189,30811,14529,16282
"회창군",89959,42284,47675,56286,26439,29847,33673,15845,17828
"흥남구역*",99994,47220,52774,89412,42109,47303,10582,5111,5471
"흥덕구역*",68093,32072,36021,64933,30616,34317,3160,1456,1704
"희천시",168180,79776,88404,136093,64547,71546,32087,15229,16858
